Station1,Station2,Distance_km,Time_min
TIKRI BORDER,PANDIT SHREE RAM SHARMA,1.4,4.9
PANDIT SHREE RAM SHARMA,BAHADURGARH CITY,1.567,2.3
BAHADURGARH CITY,BRIG. HOSHIAR SINGH,1.997,6.666666666666667
KASHMERE GATE,LAL QUILA,1.614,8.716666666666667
LAL QUILA,JAMA MASJID,1.235,4.533333333333333
JAMA MASJID,DELHI GATE,1.173,2.316666666666667
DELHI GATE,ITO,1.571,6.533333333333333
ITO,MANDI HOUSE,1.315,8.816666666666666
MANDI HOUSE,JANPATH,2.009,10.066666666666666
JANPATH,CENTRAL SECRETARIAT,1.598,8.483333333333333
CENTRAL SECRETARIAT,KHAN MARKET,2.714,10.166666666666666
KHAN MARKET,JLN STADIUM,2.021,8.933333333333334
JLN STADIUM,JANGPURA,1.15,7.116666666666666
JANGPURA,LAJPAT NAGAR,1.843,7.883333333333334
LAJPAT NAGAR,MOOLCHAND,1.018,7.85
MOOLCHAND,KAILASH COLONY,1.516,7.633333333333334
KAILASH COLONY,NEHRU PLACE,1.29,6.666666666666667
NEHRU PLACE,KALKAJI MANDIR,1.036,6.366666666666666
KALKAJI MANDIR,GOVIND PURI,1.04,7.65
GOVIND PURI,HARKESH NAGAR OKHLA,1.611,8.416666666666666
HARKESH NAGAR OKHLA,JASOLA-APOLLO,1.357,6.766666666666667
JASOLA-APOLLO,SARITA VIHAR,1.413,8.75
SARITA VIHAR,MOHAN ESTATE,1.486,9.05
MOHAN ESTATE,TUGHLAKABAD STATION,2.272,8.216666666666667
TUGHLAKABAD STATION,BADARPUR BORDER,1.474,7.816666666666666
BADARPUR BORDER,SARAI,1.818,8.766666666666667
SARAI,NHPC CHOWK,2.585,9.416666666666666
NHPC CHOWK,MEWALA MAHARAJPUR,1.377,8.683333333333334
MEWALA MAHARAJPUR,SECTOR-28,1.419,7.8
SECTOR-28,BADKAL MOR,1.912,7.416666666666667
BADKAL MOR,OLD FARIDABAD,1.604,8.233333333333333
OLD FARIDABAD,NEELAM CHOWK AJRONDA,1.725,9.3
NEELAM CHOWK AJRONDA,BATA CHOWK,1.736,10.866666666666667
BATA CHOWK,ESCORTS MUJESAR,2.11,9.433333333333334
ESCORTS MUJESAR,SANT SURDAS (SIHI),1.947,6.6
SANT SURDAS (SIHI),RAJA NAHAR SINGH (BALLABHGARH),1.782,4.766666666666667
MAJLIS PARK,AZADPUR,2.691,10.233333333333333
AZADPUR,SHALIMAR BAGH,1.96,7.0
SHALIMAR BAGH,NETAJI SUBHASH PLACE,1.771,7.15
NETAJI SUBHASH PLACE,SHAKURPUR,1.437,7.0
SHAKURPUR,PUNJABI BAGH WEST,1.861,3.35
PUNJABI BAGH WEST,ESI-BASAIDARAPUR,2.078,2.933333333333333
ESI-BASAIDARAPUR,RAJOURI GARDEN,1.257,6.633333333333334
RAJOURI GARDEN,MAYAPURI,1.915,7.366666666666666
MAYAPURI,NARAINA VIHAR,1.64,2.9166666666666665
NARAINA VIHAR,DELHI CANTT.,1.867,3.033333333333333
DELHI CANTT.,DURGABAI DESHMUKH SOUTH CAMPUS,3.828,4.45
DURGABAI DESHMUKH SOUTH CAMPUS,SIR M. VISHWESHWARAIAH MOTI BAGH,1.386,2.4833333333333334
SIR M. VISHWESHWARAIAH MOTI BAGH,BHIKAJI CAMA PLACE,1.834,5.95
BHIKAJI CAMA PLACE,SAROJINI NAGAR,1.505,5.45
SAROJINI NAGAR,DILLI HAAT - INA,1.313,6.866666666666666
DILLI HAAT - INA,SOUTH EXTENSION,1.98,10.833333333333334
SOUTH EXTENSION,LAJPAT NAGAR,2.127,9.416666666666666
